"","net_size","t","Method","Graph","MC_Rate","mc_se","Dist","dist_se","count"
"1",25,0,"Abar","Graph 1",0.0698,0.00685234068507408,4.01101168182486,0.0765401673660593,200
"2",25,0,"Abar","Graph 2",0.0698,0.00685234068507408,4.01101168182486,0.0765401673660593,200
"3",25,0,"ASE","Graph 1",0.191,0.00882407624672635,2.61105586468757,0.062071987839512,200
"4",25,0,"ASE","Graph 2",0.212,0.00969898715118202,2.42485101267388,0.0595016362036478,200
"5",25,0,"Omni","Graph 1",0.0868,0.0062259628223534,3.61005580422814,0.0639894565027594,200
"6",25,0,"Omni","Graph 2",0.0868,0.00677631108788544,3.58707788678537,0.0706786974057266,200
"7",25,0,"Omnibar","Graph 1",0.0712,0.00663270411062453,3.96814362783386,0.0755355271370236,200
"8",25,0,"Omnibar","Graph 2",0.0712,0.00663270411062453,3.96814362783386,0.0755355271370236,200
"9",25,0.1,"Abar","Graph 1",0.0888,0.0061809238059919,3.63781865075012,0.0617775041790256,200
"10",25,0.1,"Abar","Graph 2",0.0888,0.0061809238059919,3.63781865075012,0.0617775041790256,200
"11",25,0.1,"ASE","Graph 1",0.199,0.00931605843281472,2.5527823744869,0.0551716928393888,200
"12",25,0.1,"ASE","Graph 2",0.24,0.00823279384366946,2.034004845014,0.0506567335844917,200
"13",25,0.1,"Omni","Graph 1",0.099,0.00634636761538029,3.39338951475549,0.0581792966809889,200
"14",25,0.1,"Omni","Graph 2",0.118,0.00705897625216597,3.17566397102973,0.0579228550113515,200
"15",25,0.1,"Omnibar","Graph 1",0.0946,0.00657803563108464,3.5918246754389,0.0629691397577374,200
"16",25,0.1,"Omnibar","Graph 2",0.0946,0.00657803563108464,3.5918246754389,0.0629691397577374,200
"17",25,0.2,"Abar","Graph 1",0.1098,0.0081788918171586,3.39488531633406,0.0719606242876913,200
"18",25,0.2,"Abar","Graph 2",0.1098,0.0081788918171586,3.39488531633406,0.0719606242876913,200
"19",25,0.2,"ASE","Graph 1",0.1938,0.00893571682496035,2.62712571457311,0.0755594897543962,200
"20",25,0.2,"ASE","Graph 2",0.2816,0.00862782689817804,1.72877239877472,0.0559807844125382,200
"21",25,0.2,"Omni","Graph 1",0.108,0.00814442498224751,3.32495023394539,0.0722924498149988,200
"22",25,0.2,"Omni","Graph 2",0.1424,0.00784595405128492,2.84569646350664,0.061010218872822,200
"23",25,0.2,"Omnibar","Graph 1",0.1144,0.00818892498819666,3.34523600489415,0.0707654223986231,200
"24",25,0.2,"Omnibar","Graph 2",0.1144,0.00818892498819666,3.34523600489415,0.0707654223986231,200
