"","net_size","t","Method","Graph","MC_Rate","mc_se","Dist","dist_se","count"
"1",25,0,"Abar","Graph 1",0.1096,0.00800622873096081,3.99582849665108,0.0722781654131989,200
"2",25,0,"Abar","Graph 2",0.1096,0.00800622873096081,3.99582849665108,0.0722781654131989,200
"3",25,0,"ASE","Graph 1",0.216,0.00891726347820331,2.61045956623303,0.0622389979860396,200
"4",25,0,"ASE","Graph 2",0.2248,0.00868689303219303,2.48671389279314,0.0585952376026428,200
"5",25,0,"Omni","Graph 1",0.1264,0.0077676820494991,3.64014266028115,0.0640015965347378,200
"6",25,0,"Omni","Graph 2",0.1338,0.00891544873411615,3.60189130232155,0.0642111209758002,200
"7",25,0,"Omnibar","Graph 1",0.113,0.00807720285929175,3.9678414518538,0.0709107808612786,200
"8",25,0,"Omnibar","Graph 2",0.113,0.00807720285929175,3.9678414518538,0.0709107808612786,200
"9",25,0.1,"Abar","Graph 1",0.1286,0.00843956940005185,3.63474590644548,0.0699446940670217,200
"10",25,0.1,"Abar","Graph 2",0.1286,0.00843956940005185,3.63474590644548,0.0699446940670217,200
"11",25,0.1,"ASE","Graph 1",0.22020202020202,0.00856268601886481,2.53789939590554,0.0587034020203895,200
"12",25,0.1,"ASE","Graph 2",0.2836,0.00806600908210267,2.04563193094785,0.0545127125997906,200
"13",25,0.1,"Omni","Graph 1",0.162,0.00869239834250154,3.40178624244098,0.0631254876410357,200
"14",25,0.1,"Omni","Graph 2",0.176,0.00825230286117535,3.16371686590009,0.0612062829152251,200
"15",25,0.1,"Omnibar","Graph 1",0.1296,0.00805628441609188,3.59947231813876,0.0696523779580882,200
"16",25,0.1,"Omnibar","Graph 2",0.1296,0.00805628441609188,3.59947231813876,0.0696523779580882,200
"17",25,0.2,"Abar","Graph 1",0.1552,0.00911152564049992,3.39662782068969,0.0733320452680177,200
"18",25,0.2,"Abar","Graph 2",0.1552,0.00911152564049992,3.39662782068969,0.0733320452680177,200
"19",25,0.2,"ASE","Graph 1",0.215555555555556,0.00914864402713599,2.60043765160599,0.0611501603746286,200
"20",25,0.2,"ASE","Graph 2",0.308,0.00861458387134178,1.67278166973304,0.0539236106397814,200
"21",25,0.2,"Omni","Graph 1",0.1556,0.00855741472254725,3.31231242007049,0.073230195297033,200
"22",25,0.2,"Omni","Graph 2",0.2042,0.00949539957375816,2.79796056659211,0.0596791506342852,200
"23",25,0.2,"Omnibar","Graph 1",0.1566,0.00909924067735999,3.32898298585271,0.0731137186056579,200
"24",25,0.2,"Omnibar","Graph 2",0.1566,0.00909924067735999,3.32898298585271,0.0731137186056579,200
"25",25,0.3,"Abar","Graph 1",0.1808,0.00886735302944141,3.05224188394125,0.0651171952090176,200
"26",25,0.3,"Abar","Graph 2",0.1808,0.00886735302944141,3.05224188394125,0.0651171952090176,200
"27",25,0.3,"ASE","Graph 1",0.220100502512563,0.00946604510063289,2.65517912418434,0.0616046971273376,200
"28",25,0.3,"ASE","Graph 2",0.342,0.00700753363446733,1.34093845094468,0.0442353433302344,200
"29",25,0.3,"Omni","Graph 1",0.165025125628141,0.00874292625233879,3.17125152982914,0.0695890806620915,200
"30",25,0.3,"Omni","Graph 2",0.2392,0.00905576248423369,2.48150178377964,0.0546238655821387,200
"31",25,0.3,"Omnibar","Graph 1",0.1928,0.00949693417866892,3.04934180180884,0.0672739139976528,200
"32",25,0.3,"Omnibar","Graph 2",0.1928,0.00949693417866892,3.04934180180884,0.0672739139976528,200
"33",25,0.4,"Abar","Graph 1",0.2146,0.0094307419894917,2.66310251644355,0.0627549637778283,200
"34",25,0.4,"Abar","Graph 2",0.2146,0.0094307419894917,2.66310251644355,0.0627549637778283,200
"35",25,0.4,"ASE","Graph 1",0.229292929292929,0.00898687849188718,2.50410331371918,0.0602077777900061,200
"36",25,0.4,"ASE","Graph 2",0.36,0.00610132204143219,1.18313552186582,0.0408743257466608,200
"37",25,0.4,"Omni","Graph 1",0.2018,0.00914999519455073,2.83922788864198,0.0649247285935647,200
"38",25,0.4,"Omni","Graph 2",0.273,0.00881039815092879,2.15161317162643,0.0519025459022334,200
"39",25,0.4,"Omnibar","Graph 1",0.2228,0.00891956237518546,2.67511722843247,0.0621544771928969,200
"40",25,0.4,"Omnibar","Graph 2",0.2228,0.00891956237518546,2.67511722843247,0.0621544771928969,200
