"","network_size","t","iter.no","Method","MC_Rate","D12","D13","D23"
"1","100","0","1","AASE","0.02","3.97723755359404","8.55539306456815","6.81593638987539"
"2","100","0","1","OMNI","0.03","3.97618040741856","6.57011774679623","8.43599707461855"
"3","100","0","1","ALS","0.02","3.8345639444369","6.75237780141361","8.37385862634616"
"4","100","0","1","JE","0.01","4.2083318472944","8.408885440991","7.00293633755864"
"5","100","0","1","RASE","0.15","2.59357378588052","6.75602083894398","6.31241572910263"
"6","100","0","1","MASE","0.23","3.38916467387801","4.50115367506769","7.39124822460893"
"7","100","0","1","ASE1","0.49","3.45599984150871","3.70880946994076","1.99462860675606"
"8","100","0","2","AASE","0.01","6.30465952844682","3.98990867039821","7.67162443205981"
"9","100","0","2","OMNI","0.03","6.28423449337197","3.93886798877544","7.85811290417939"
"10","100","0","2","ALS","0.07","6.56500831915335","3.32663926190737","7.037834610607"
"11","100","0","2","JE","0.01","6.2921612397089","3.98310105589031","7.68926395263046"
"12","100","0","2","RASE","0.04","6.25640264941153","3.95765782364285","8.014612381789"
"13","100","0","2","MASE","0.11","5.75726042446095","3.3524317030052","7.54202935910269"
"14","100","0","2","ASE1","0.41","3.21353719265449","4.55497751527592","2.61782405567641"
"15","100","0","3","AASE","0.02","4.41328460883505","7.17351294187817","7.5278060264322"
"16","100","0","3","OMNI","0.05","3.8091456494389","6.99674004974568","7.46410825050984"
"17","100","0","3","ALS","0.07","3.55194937763337","7.22452738650657","7.21437429176547"
"18","100","0","3","JE","0.06","3.75830199410013","6.77878413668454","7.70209069512253"
"19","100","0","3","RASE","0.09","3.38701701996047","6.86575460639513","7.58554194176746"
"20","100","0","3","MASE","0.2","2.94672535450351","6.38000813146225","5.46642439021817"
"21","100","0","3","ASE1","0.34","6.4941647270706","3.97549641471315","3.10868046709412"
"22","100","0","4","AASE","0.02","8.61394893521691","5.14114657069795","8.29419258862118"
"23","100","0","4","OMNI","0.02","8.54164257308815","5.34546470416767","8.18228510775761"
"24","100","0","4","ALS","0.02","8.37932902061919","5.20296335248378","8.10279646800772"
"25","100","0","4","JE","0.03","8.7219868694688","5.32145875591917","8.0979559957347"
"26","100","0","4","RASE","0.02","8.46571229796973","5.50634419094445","8.0958087194368"
"27","100","0","4","MASE","0.06","7.60711671418608","3.92753655035729","7.1676701325221"
"28","100","0","4","ASE1","0.38","6.87680483056795","3.45954481186248","3.64148932859313"
"29","100","0","5","AASE","0.03","4.58168653511159","6.71178592171989","8.02361647669302"
"30","100","0","5","OMNI","0.01","5.04559663608287","6.78766093190443","8.39438936921774"
"31","100","0","5","ALS","0.01","4.98822020902617","6.67198391751079","8.34127798745716"
"32","100","0","5","JE","0.05","2.99761840499407","6.3344806904103","7.74502765406933"
"33","100","0","5","RASE","0.03","3.34011023839477","6.19662725324958","7.82691738531102"
"34","100","0","5","MASE","0.13","2.93246907421401","6.44844767300346","8.54939821290477"
"35","100","0","5","ASE1","0.26","2.79612502711766","5.76793279861149","4.06469910530123"
"36","100","0","6","AASE","0.12","8.89911492041011","10.5832725120941","3.02770401065701"
"37","100","0","6","OMNI","0.06","9.17761228970108","9.59749155152087","3.46078448584345"
"38","100","0","6","ALS","0.1","8.6917497769085","9.61636728043147","3.1940885710699"
"39","100","0","6","JE","0.3","8.59124717752544","9.14289390595362","0.921555184648716"
"40","100","0","6","RASE","0.22","9.42020381570623","8.92532569816708","2.81132835435201"
"41","100","0","6","MASE","0.29","7.61370211116175","9.69561668592391","2.28274218701018"
