"","graph","community","t","Method","MSE"
"1","Graph 1","Community 1",0,"Abar",0.00261111111111111
"2","Graph 1","Community 2",0,"Abar",0.00261111111111111
"3","Graph 2","Community 1",0,"Abar",0.00261111111111111
"4","Graph 2","Community 2",0,"Abar",0.00261111111111111
"5","Graph 1","Community 1",0.1,"Abar",0.015156837718423
"6","Graph 1","Community 2",0.1,"Abar",0.015156837718423
"7","Graph 2","Community 1",0.1,"Abar",0.0154031974339106
"8","Graph 2","Community 2",0.1,"Abar",0.0154031974339106
"9","Graph 1","Community 1",0.2,"Abar",0.0277109029773807
"10","Graph 1","Community 2",0.2,"Abar",0.0277109029773807
"11","Graph 2","Community 1",0.2,"Abar",0.0282736817464533
"12","Graph 2","Community 2",0.2,"Abar",0.0282736817464533
"13","Graph 1","Community 1",0.3,"Abar",0.0403072031863504
"14","Graph 1","Community 2",0.3,"Abar",0.0403072031863504
"15","Graph 2","Community 1",0.3,"Abar",0.0414708072840631
"16","Graph 2","Community 2",0.3,"Abar",0.0414708072840631
"17","Graph 1","Community 1",0.4,"Abar",0.052983136941942
"18","Graph 1","Community 2",0.4,"Abar",0.052983136941942
"19","Graph 2","Community 1",0.4,"Abar",0.0552898154564267
"20","Graph 2","Community 2",0.4,"Abar",0.0552898154564267
"21","Graph 1","Community 1",0.5,"Abar",0.0657811726434836
"22","Graph 1","Community 2",0.5,"Abar",0.0657811726434836
"23","Graph 2","Community 1",0.5,"Abar",0.0701179315859691
"24","Graph 2","Community 2",0.5,"Abar",0.0701179315859691
"25","Graph 1","Community 1",0.6,"Abar",0.0787510469479998
"26","Graph 1","Community 2",0.6,"Abar",0.0787510469479998
"27","Graph 2","Community 1",0.6,"Abar",0.0865167877617356
"28","Graph 2","Community 2",0.6,"Abar",0.0865167877617356
"29","Graph 1","Community 1",0.7,"Abar",0.0919529665071636
"30","Graph 1","Community 2",0.7,"Abar",0.0919529665071636
"31","Graph 2","Community 1",0.7,"Abar",0.105401319385829
"32","Graph 2","Community 2",0.7,"Abar",0.105401319385829
"33","Graph 1","Community 1",0.8,"Abar",0.105462458656724
"34","Graph 1","Community 2",0.8,"Abar",0.105462458656724
"35","Graph 2","Community 1",0.8,"Abar",0.128521470414807
"36","Graph 2","Community 2",0.8,"Abar",0.128521470414807
"37","Graph 1","Community 1",0.9,"Abar",0.119378037948632
"38","Graph 1","Community 2",0.9,"Abar",0.119378037948632
"39","Graph 2","Community 1",0.9,"Abar",0.1603378779094
"40","Graph 2","Community 2",0.9,"Abar",0.1603378779094
"41","Graph 1","Community 1",0,"ASE",0.00522222222222222
"42","Graph 1","Community 2",0,"ASE",0.00522222222222222
"43","Graph 2","Community 1",0,"ASE",0.00522222222222222
"44","Graph 2","Community 2",0,"ASE",0.00522222222222222
"45","Graph 1","Community 1",0.1,"ASE",0.00522222222222222
"46","Graph 1","Community 2",0.1,"ASE",0.00522222222222222
"47","Graph 2","Community 1",0.1,"ASE",0.00617436996224875
"48","Graph 2","Community 2",0.1,"ASE",0.00617436996224875
"49","Graph 1","Community 1",0.2,"ASE",0.00522222222222222
"50","Graph 1","Community 2",0.2,"ASE",0.00522222222222222
"51","Graph 2","Community 1",0.2,"ASE",0.00762654320987654
"52","Graph 2","Community 2",0.2,"ASE",0.00762654320987654
"53","Graph 1","Community 1",0.3,"ASE",0.00522222222222222
"54","Graph 1","Community 2",0.3,"ASE",0.00522222222222222
"55","Graph 2","Community 1",0.3,"ASE",0.00987592749131211
"56","Graph 2","Community 2",0.3,"ASE",0.00987592749131211
"57","Graph 1","Community 1",0.4,"ASE",0.00522222222222222
"58","Graph 1","Community 2",0.4,"ASE",0.00522222222222222
"59","Graph 2","Community 1",0.4,"ASE",0.0134943310657596
"60","Graph 2","Community 2",0.4,"ASE",0.0134943310657596
"61","Graph 1","Community 1",0.5,"ASE",0.00522222222222222
"62","Graph 1","Community 2",0.5,"ASE",0.00522222222222222
"63","Graph 2","Community 1",0.5,"ASE",0.0196913580246914
