"","net_size","t","community","graph","Method","mse_se","average_mse"
"1",250,0,"Community 1","Graph 1","Abar",3.5566666786058e-06,0.00369035740202396
"2",250,0,"Community 1","Graph 1","ASE",7.38591133140041e-06,0.00762234696757794
"3",250,0,"Community 1","Graph 1","Omni",4.40738728611338e-06,0.00462152101598319
"4",250,0,"Community 1","Graph 1","Omnibar",3.57035374008326e-06,0.00370523873021004
"5",250,0,"Community 1","Graph 2","Abar",3.5566666786058e-06,0.00369035740202396
"6",250,0,"Community 1","Graph 2","ASE",7.41805880457013e-06,0.00760901550440499
"7",250,0,"Community 1","Graph 2","Omni",4.46097257136381e-06,0.00461652614711657
"8",250,0,"Community 1","Graph 2","Omnibar",3.57035374008326e-06,0.00370523873021004
"9",250,0,"Community 2","Graph 1","Abar",5.16966318593317e-06,0.00434231892573922
"10",250,0,"Community 2","Graph 1","ASE",1.06984729407959e-05,0.00895378431816523
"11",250,0,"Community 2","Graph 1","Omni",6.46962156455307e-06,0.00544452413119827
"12",250,0,"Community 2","Graph 1","Omnibar",5.19114016443002e-06,0.00436054702805151
"13",250,0,"Community 2","Graph 2","Abar",5.16966318593317e-06,0.00434231892573922
"14",250,0,"Community 2","Graph 2","ASE",1.07997183267585e-05,0.00891159371777345
"15",250,0,"Community 2","Graph 2","Omni",6.44316565523219e-06,0.00542573945618636
"16",250,0,"Community 2","Graph 2","Omnibar",5.19114016443002e-06,0.00436054702805151
"17",250,0.1,"Community 1","Graph 1","Abar",3.97528001514797e-06,0.00418515736066752
"18",250,0.1,"Community 1","Graph 1","ASE",7.7820688828614e-06,0.00776722830780053
"19",250,0.1,"Community 1","Graph 1","Omni",4.80844567539066e-06,0.00485066738221337
"20",250,0.1,"Community 1","Graph 1","Omnibar",3.99182945732271e-06,0.00421919963040677
"21",250,0.1,"Community 1","Graph 2","Abar",3.92186852679106e-06,0.00422494563790078
"22",250,0.1,"Community 1","Graph 2","ASE",8.98151485742452e-06,0.00900097855189199
"23",250,0.1,"Community 1","Graph 2","Omni",5.05481304838706e-06,0.00526508458306145
"24",250,0.1,"Community 1","Graph 2","Omnibar",3.9340789381353e-06,0.0042111735789505
"25",250,0.1,"Community 2","Graph 1","Abar",4.91372728594468e-06,0.00458114832339967
"26",250,0.1,"Community 2","Graph 1","ASE",9.85840642524886e-06,0.00852309138610912
"27",250,0.1,"Community 2","Graph 1","Omni",6.03261175410438e-06,0.00530605515831876
"28",250,0.1,"Community 2","Graph 1","Omnibar",4.91991490783981e-06,0.00456453400951466
"29",250,0.1,"Community 2","Graph 2","Abar",4.85595386991902e-06,0.00452450945944738
"30",250,0.1,"Community 2","Graph 2","ASE",1.08224472823596e-05,0.00963429570512325
"31",250,0.1,"Community 2","Graph 2","Omni",6.20755403012971e-06,0.00566965467568615
"32",250,0.1,"Community 2","Graph 2","Omnibar",4.86839282238073e-06,0.00455601097233305
"33",250,0.2,"Community 1","Graph 1","Abar",4.71034154191992e-06,0.00507170232459763
"34",250,0.2,"Community 1","Graph 1","ASE",8.5888265802037e-06,0.00804460257839371
"35",250,0.2,"Community 1","Graph 1","Omni",5.44174338150708e-06,0.005157254213141
"36",250,0.2,"Community 1","Graph 1","Omnibar",4.69585234081564e-06,0.00506944069225904
"37",250,0.2,"Community 1","Graph 2","Abar",4.54055848199951e-06,0.00506388735471815
"38",250,0.2,"Community 1","Graph 2","ASE",1.14805095889399e-05,0.0106849971432426
"39",250,0.2,"Community 1","Graph 2","Omni",5.95395273845877e-06,0.00589767028109661
"40",250,0.2,"Community 1","Graph 2","Omnibar",4.53346014018573e-06,0.00504511889302759
"41",250,0.2,"Community 2","Graph 1","Abar",4.73532765266872e-06,0.00512744748016542
"42",250,0.2,"Community 2","Graph 1","ASE",8.72749151409092e-06,0.00810957326613655
"43",250,0.2,"Community 2","Graph 1","Omni",5.52999686709297e-06,0.00520059717785547
"44",250,0.2,"Community 2","Graph 1","Omnibar",4.71172723702861e-06,0.00510486300306831
"45",250,0.2,"Community 2","Graph 2","Abar",4.58901008359555e-06,0.00508065700273854
"46",250,0.2,"Community 2","Graph 2","ASE",1.14217213122737e-05,0.0107355245647227
"47",250,0.2,"Community 2","Graph 2","Omni",5.92556313763857e-06,0.00593794811790557
"48",250,0.2,"Community 2","Graph 2","Omnibar",4.57719793921455e-06,0.00508006453073775
"49",250,0.3,"Community 1","Graph 1","Abar",5.77043632296658e-06,0.00656344076181544
"50",250,0.3,"Community 1","Graph 1","ASE",9.82159994041126e-06,0.0084579955198186
"51",250,0.3,"Community 1","Graph 1","Omni",6.4346251374979e-06,0.00555677183534285
"52",250,0.3,"Community 1","Graph 1","Omnibar",5.64356448227955e-06,0.00629056697203732
"53",250,0.3,"Community 1","Graph 2","Abar",5.41438776582242e-06,0.00612613089673531
"54",250,0.3,"Community 1","Graph 2","ASE",1.50242053807192e-05,0.0129508650052966
"55",250,0.3,"Community 1","Graph 2","Omni",6.94002285808285e-06,0.00657291586738476
"56",250,0.3,"Community 1","Graph 2","Omnibar",5.37357497136992e-06,0.00626126278845978
"57",250,0.3,"Community 2","Graph 1","Abar",4.87790500088402e-06,0.0059083849118661
"58",250,0.3,"Community 2","Graph 1","ASE",8.10385795273103e-06,0.00779650749020724
"59",250,0.3,"Community 2","Graph 1","Omni",5.41771859799911e-06,0.00518652894862349
"60",250,0.3,"Community 2","Graph 1","Omnibar",4.85660473913556e-06,0.00604676621648229
"61",250,0.3,"Community 2","Graph 2","Abar",4.61303959148903e-06,0.00626069405488073
"62",250,0.3,"Community 2","Graph 2","ASE",1.35275487608789e-05,0.0126267827500989
"63",250,0.3,"Community 2","Graph 2","Omni",6.00469160184008e-06,0.00632806891040447
"64",250,0.3,"Community 2","Graph 2","Omnibar",4.56939080046705e-06,0.00601554914978972
"65",250,0.4,"Community 1","Graph 1","Abar",6.09275445312051e-06,0.00797025941541542
"66",250,0.4,"Community 1","Graph 1","ASE",9.35861456304794e-06,0.00832344752468045
"67",250,0.4,"Community 1","Graph 1","Omni",6.40091170270214e-06,0.00565198427114049
"68",250,0.4,"Community 1","Graph 1","Omnibar",5.86375566076654e-06,0.00757259371762978
"69",250,0.4,"Community 1","Graph 2","Abar",5.61670517450911e-06,0.00749235455680822
